診療項目代碼,診療項目中文,診療項目英文,支付點數,生效起日,生效訖日,品項類別,給付說明,適應症
44005B,中度Moderate：指治療項目二項以上，合計治療時間三十分鐘至五十分鐘以內之中度治療。,Communication Therapy-Moderate,320,105.04.01,999.12.31,復健治療費,註：1.治療項目ST 1. 聽能瞭解訓練 Auditory comprehension training ST 2. 口語訓練 Verbal production ST 3. 輔導溝通法 Augmentative cemmunication system ST 4. 認讀訓練 Readinhg training ST 5. 書寫訓練 Writing training ST 6. 視知覺訓練 Visual perception ST 7. 高階層認知訓練 High level cognitive funct,
44006C,中度Moderate：指治療項目2項以上，合計治療時間三十分鐘至五十分鐘以內之中度治療。,Communication Therapy-Moderate,190,104.09.01,999.12.31,復健治療費,註：1.治療項目ST 1. 聽能瞭解訓練 ST 2. 口語訓練 ST 3. 輔導溝通法 ST 4. 認讀訓練 ST 5. 書寫訓練 ST 6. 視知覺訓練 ST 7. 高階層認知訓練  ST 8. 觸覺肌動法 ST 9. 口腔動作訓練 ST 10 發音部位法  ST 11. 聽辨訓練 ST 12. 節律訓練 ST 13. 視聽迴饋法 ST 14. 語言分析 ST 15. 其他經保險人核可者。,
44008B,複雜Complicated：1.指治療項目四項以上，合計治療時間三十分鐘以上之複雜治療；若治療對象為未滿十三歲者，則無治療時間之限制。2.個案需符合下列任一適應症，其診斷代碼詳支付標準。3.需包含下列二項以上之治療項目：ST1、ST2、 ST3、 ST7、 ST9、 ST13、ST14。,Communication Therapy-Complicated,600,111.03.01,999.12.31,復健治療費,註：1.治療項目ST 1. 聽能瞭解訓練 ST 2. 口語訓練 ST 3. 輔導溝通法 ST 4. 認讀訓練 ST 5. 書寫訓練 ST 6. 視知覺訓練 ST 7. 高階層認知訓練  ST 8. 觸覺肌動法 ST 9. 口腔動作訓練 ST 10 發音部位法  ST 11. 聽辨訓練 ST 12. 節律訓練 ST 13. 視聽迴饋法 ST 14. 語言分析 ST 15. 其他經保險人核可者。,
44009C,複雜Complicated：1.指治療項目四項以上，合計治療時間三十分鐘以上之複雜治療；若治療對象為未滿十三歲者，則無治療時間之限制。2.個案需符合下列任一適應症，其診斷代碼詳支付標準。3.需包含下列二項以上之治療項目：ST1、ST2、ST3、ST7、ST9、ST13、ST14。,Communication Therapy-Complicated,360,111.03.01,999.12.31,復健治療費,註：1.治療項目ST 1. 聽能瞭解訓練 ST 2. 口語訓練 ST 3. 輔導溝通法 ST 4. 認讀訓練 ST 5. 書寫訓練 ST 6. 視知覺訓練 ST 7. 高階層認知訓練  ST 8. 觸覺肌動法 ST 9. 口腔動作訓練 ST 10 發音部位法  ST 11. 聽辨訓練 ST 12. 節律訓練 ST 13. 視聽迴饋法 ST 14. 語言分析 ST 15. 其他經保險人核可者。,
44010C,語言治療評估,,240,084.03.01,999.12.31,復健治療費,註：語言治療評估須由復健科專科醫師或語言治療專業人員親自實施始可申報，同一病患治療期間一個月限申報一次，並須將評估項目、現有問題、短及長程治療目標及治療計畫記錄於病歷內。同一治療期間超過三個月者，不予支付。,
44011C,中度Moderate：指治療項目二項以上，合計治療時間三十分鐘至五十分鐘以內之中度治療。,Communication Therapy-Moderate,265,105.04.01,999.12.31,復健治療費,1.治療項目ST 1. 聽能瞭解訓練 ST 2. 口語訓練 ST 3. 輔導溝通法 ST 4. 認讀訓練 ST 5. 書寫訓練 ST 6. 視知覺訓練 ST 7. 高階層認知訓練  ST 8. 觸覺肌動法 ST 9. 口腔動作訓練 ST 10 發音部位法  ST 11. 聽辨訓練 ST 12. 節律訓練 ST 13. 視聽迴饋法 ST 14. 語言分析 ST 15. 其他經保險人核可者。2.44011C、44012C、44015C申報資格如下：(1)復健科專科醫師開設之基層院所。(2)聘有專任復健專科醫師,
44012C,複雜Complicated：1.指治療項目四項以上，合計治療時間三十分鐘以上之複雜治療；若治療對象為未滿十三歲者，則無治療時間之限制。2.個案需符合下列任一適應症，其診斷代碼詳支付標準。3.需包含下列二項以上之治療項目：ST1、ST2、ST3、ST7、ST9、ST13、ST14。,Communication Therapy-Complicated,500,111.03.01,999.12.31,復健治療費,1.治療項目ST 1. 聽能瞭解訓練 ST 2. 口語訓練 ST 3. 輔導溝通法 ST 4. 認讀訓練 ST 5. 書寫訓練 ST 6. 視知覺訓練 ST 7. 高階層認知訓練  ST 8. 觸覺肌動法 ST 9. 口腔動作訓練 ST 10 發音部位法  ST 11. 聽辨訓練 ST 12. 節律訓練 ST 13. 視聽迴饋法 ST 14. 語言分析 ST 15. 其他經保險人核可者。2.44011C、44012C、44015C申報資格如下：(1)復健科專科醫師開設之基層院所。(2)聘有專任復健專科醫師,
44014B,中度-複雜：1.指治療項目三項以上，合計治療時間三十分鐘以上之中度治療；若治療對象為未滿十三歲者，則無治療時間之限制。2.需包含下列二項以上之治療項目：ST1、ST2、 ST3、 ST7、 ST9、ST13、ST14。,Communication Therapy,480,111.03.01,999.12.31,復健治療費,註：1.治療項目ST 1. 聽能瞭解訓練 Auditory comprehension training ST 2. 口語訓練 Verbal production ST 3. 輔導溝通法 Augmentative cemmunication system ST 4. 認讀訓練 Readinhg training ST 5. 書寫訓練 Writing training ST 6. 視知覺訓練 Visual perception ST 7. 高階層認知訓練 High level cognitive funct,
44015C,中度-複雜：1.指治療項目三項以上，合計治療時間三十分鐘以上之中度治療；若治療對象為未滿十三歲者，則無治療時間之限制。2.需包含下列二項以上之治療項目：ST1、ST2、 ST3、 ST7、 ST9、ST13、ST14。,Communication Therapy,400,111.03.01,999.12.31,復健治療費,1.治療項目ST 1. 聽能瞭解訓練 Auditory comprehension training ST 2. 口語訓練 Verbal production ST 3. 輔導溝通法 Augmentative cemmunication system ST 4. 認讀訓練 Readinhg training ST 5. 書寫訓練 Writing training ST 6. 視知覺訓練 Visual perception ST 7. 高階層認知訓練 High level cognitive functio,
44016C,中度-複雜：1.指治療項目三項以上，合計治療時間三十分鐘以上之中度治療；若治療對象為未滿十三歲者，則無治療時間之限制。2.需包含下列二項以上之治療項目：ST1、ST2、 ST3、 ST7、 ST9、ST13、ST14。,Communication Therapy,290,111.03.01,999.12.31,復健治療費,註：1.治療項目ST 1. 聽能瞭解訓練 Auditory comprehension training ST 2. 口語訓練 Verbal production ST 3. 輔導溝通法 Augmentative cemmunication system ST 4. 認讀訓練 Readinhg training ST 5. 書寫訓練 Writing training ST 6. 視知覺訓練 Visual perception ST 7. 高階層認知訓練 High level cognitive funct,
44501B,特殊心理社會治療－ 成人,Re-educative psychosocial individual psychotherapy－adult,344,098.01.01,999.12.31,復健治療費,註：從系統觀點探討個體本身與環境特質，運用心理治療原理介入，形成情緒、認知與行為的改變，以提昇病人社會心理適應能力。針對不同類型病人之治療內容包含：1.嬰幼兒發展治療 ( Neurodevelopmental therapy )2.遊戲治療 ( Play therapy )3.認知行為治療 ( Rational-Emotive therapy )4.行為功能分析與行為改變技術 ( Functional behavioral analysis and behavioral therapy )5.神經心理復健,
44502B,特殊心理社會治療－六歲以上至未滿十六歲,Re-educative psychosocial individual psychotherapy－6 to 15 years old,430,111.03.01,999.12.31,復健治療費,從系統觀點探討個體本身與環境特質，運用心理治療原理介入，形成情緒、認知與行為的改變，以提昇病人社會心理適應能力。針對不同類型病人之治療內容包含：1.嬰幼兒發展治療 ( Neurodevelopmental therapy )2.遊戲治療 ( Play therapy )3.認知行為治療 ( Rational-Emotive therapy )4.行為功能分析與行為改變技術 ( Functional behavioral analysis and behavioral therapy )5.神經心理復健策略,
44503B,特殊心理社會治療－未滿六歲,Re-educative psychosocial individual psychotherapy－under 6 years old,515,108.04.01,999.12.31,復健治療費,註：從系統觀點探討個體本身與環境特質，運用心理治療原理介入，形成情緒、認知與行為的改變，以提昇病人社會心理適應能力。針對不同類型病人之治療內容包含：1.嬰幼兒發展治療 ( Neurodevelopmental therapy )2.遊戲治療 ( Play therapy )3.認知行為治療 ( Rational-Emotive therapy )4.行為功能分析與行為改變技術 ( Functional behavioral analysis and behavioral therapy )5.神經心理復健,
44504B,支持性心理社會治療,Supportive psychosocial individual psychotherapy,97,098.01.01,999.12.31,復健治療費,註：利用支持性心理治療技巧，以減輕症狀影響病人的程度，協助復健病人了解疾病及相關治療，應於復健科醫師指導下由復健醫療團隊之專業成員執行。,
44505B,特殊心理社會團體治療 ( 每人次 ),Re-educative psychosocial group psychotherapy,129,098.01.01,999.12.31,復健治療費,註：經由團體前準備、團體進行、團體後之整理、團體報告之撰寫，利用特殊團體心理治療原理、團體中結構特性、人際互動及活動參與過程，協助病人覺察不良行為、建立適應性行為模式、學習因應問題及解決問題技巧、獲得同儕支持之正向情緒。本項治療限由復健科醫師或臨床心理師執行，申報時應附復健科專科醫師之醫囑及簽名，一次最多以十五人為限。,
45004C,痙攣性電療法,Electroconvulsive therapy,1718,093.07.01,999.12.31,精神醫療治療費,麻醉、護理、藥物費包含在內。,
45010C,支持性心理治療,Supportive individual psychotherapy,97,093.07.01,999.12.31,精神醫療治療費,註:利用支持性心理治療技巧，以減輕症狀影響病人的程度，協助精神疾病病人了解疾病及相關治療，應於精神科醫師指導下由精神治療團隊之各專業成員執行。,
45013C,深度心理治療（每四十分鐘）-成人,Intensive individual psychotherapy-adult,1203,108.04.01,999.12.31,精神醫療治療費,註:利用深度心理治療技術，以協助病人改善客體關係（object relation）、強化心理防衛機轉、解決內在衝突或改善其認知行為偏差。本項治療限由精神科專科醫師執行，申報時並應附治療紀錄。,
45016C,支持性團體心理治療(每人次),Supportive group psychotherapy,64,093.07.01,999.12.31,精神醫療治療費,註:經由團體前準備、團體進行、團體後之整理、團體報告之撰寫，利用一般團體治療技巧以協助病人了解疾病及相關治療，或引導病人面對現實的生活，作出負責的行為。本項治療應由精神科治療團隊之各專業成員執行。一次最多以二十五人為限。,
45019C,深度團體心理治療（每人次）,Intensive group psychotherapy,344,093.07.01,999.12.31,精神醫療治療費,註:經由團體前準備、團體進行、團體後之討論、團體後之整理、團體報告之撰寫，利用深度團體心理治療技術及治療因子，以協助團體中的病人洞察心理發展過程、改善客體關係（object relation）、強化心理防衛機轉、解決內在衝突。本項治療限由精神科專科醫師執行，申報時並應附治療紀錄。一次最多以十人為限。,
45022C,活動治療（天）,Activity therapy (day),108,093.07.01,999.12.31,精神醫療治療費,,
45031C,一般職能治療(次),General Occupational therapy,299,093.07.01,999.12.31,精神醫療治療費,註:1.一般治療項目1~2項。2.合計治療時間40分鐘者。3.一般治療項目包含：(1)娛樂治療。 (2)產業治療。(3)日常生活功能訓練。(4)手眼協調訓練。 (5)社交功能訓練。(6)休閒運動功能訓練。(7)運動感覺訓練。(8)平衡訓練。,
45034C,精神科藥物治療特別處理費(每日)  ,Psychiatric special drug therapy (day),86,093.07.01,999.12.31,精神醫療治療費,註:1.為增強不合作個案服藥順從性所需之相關處置。2.本項治療限醫師醫囑執行。,
45037C,精神科住院病人特別處理費（每日）,Psychiatric inpatient special care (day),1547,112.10.01,999.12.31,精神醫療治療費,"1.病人因受精神症狀影響，有攻擊或自傷之虞，治療團隊必須經常照護，並提供必要之心理、行為或藥物處置，以避免危險行為之發生。
2.本項治療限精神科專科醫師之醫囑執行。
3.不得同時申報45034C、45040C。",
45040C,精神科特別護理（每日）,Psychiative nursing care (day),129,093.07.01,999.12.31,精神醫療治療費,註：1.針對精神科住院病患之行為問題、自我照顧、情緒障礙、知覺障礙、思考障礙等，實施具體的護理照護、協助身體照顧、環境安排、及引導人際互動。2.本項治療限由精神專科醫師醫囑及簽名才能申報。3.加護病房病人不另申報本項目。4.不得同時申報45037C、45070C。,
45043C,生理回饋治療之執行（每次）,Biofeedback therapy,258,098.06.01,999.12.31,精神醫療治療費,註:限曾經受過精神醫療訓練之醫事人員或社工師執行，每次療程限申報12次。申報時並需附個別之生理回饋儀之數據報告。,
45046C,生理心理功能檢查-成人,Psychophysiological function examination- adult,344,093.07.01,999.12.31,精神醫療治療費,"註:包括MSE(Mini Mental State Test, BDI等)",
45049C,職能評鑑（每次）,Occupational assessment,687,112.07.01,999.12.31,精神醫療治療費,每月最多申報一次，病歷上應有紀錄。,
45052C,智能評鑑（每次）,Intelligence assessment,687,093.07.01,999.12.31,精神醫療治療費,"註:包括CDR (Clinical Dementia Rating, Memory test, ADAS Alzheimer's disease assessment scale)。",
45055C,人格特質評鑑,Personality assessment,859,101.10.01,999.12.31,精神醫療治療費,註:限由精神科醫師或臨床心理師施行。,
45058C,心理測驗（全套）,Multiphasic psychological test,1375,093.07.01,999.12.31,精神醫療治療費,註:包括CASI (Cognitive Abilities Screening Instrument)。,
45064C,心理劇治療（每次）,Psychodrama therapy,219,093.07.01,999.12.31,精神醫療治療費,註:經由團體的方式，利用心理劇特殊的治療理論及治療技巧，以團體中的病人釋放掩飾的情感、探討人際關係、心理衝突，以洞察自我並尋求解決之道。本項治療限於精神科醫師指導下，由精神治療團隊之各專業成員執行。一次最多以二十人為限。,
45070C,住院個案行為治療（每日),Inpatient Behavior therapy,52,093.07.01,999.12.31,精神醫療治療費,註:限精神科住院個案，針對一般性行為問題之矯正，每日限申報一次，由精神醫療團隊成員執行，需詳記於病歷。,
45079C,腦圖譜分析,Brain mapping,855,093.07.01,999.12.31,精神醫療治療費,,
45082B,家族治療 (60分鐘) ,Family therapy,800,106.10.01,999.12.31,精神醫療治療費,註:運用家庭動力或系統等理論，以治療精神疾病病人。限精神科醫師或精神科社工師(員)申報，並需附精神科專科醫師之醫囑及簽名。,
45085B,精神科診斷性會談(次)-成人,Psychiatric diagnostic interview(time) -adult,1031,093.07.01,999.12.31,精神醫療治療費,註：1.包括病史、心理狀態評估、社會功能評估及病人治療之計畫(安置)等。2.限精神科初診(含新住院病人)或他科要求會診時申報。3.限由精神專科醫師施行並於病歷詳細記載治療情形。4.申報時須附載有該精神科專科醫師簽名之治療紀錄。,
45087C,特殊心理治療-成人,Re-educative individual psychotherapy-adult,344,093.07.01,999.12.31,精神醫療治療費,註:利用特殊心理治療技術，以協助病人了解自我、形成病識感、提升病人適應環境技巧、降低病人的主觀挫折及不良行為，本項治療限由精神科醫師或臨床心理師執行，申報時並應附精神科專科醫師之醫囑及簽名 。,
45088C,特殊心理治療-六歲以上至未滿十六歲,Re-educative individual psychotherapy- 6 to 15 years old,430,111.03.01,999.12.31,精神醫療治療費,利用特殊心理治療技術，以協助病人了解自我、形成病識感、提升病人適應環境技巧、降低病人的主觀挫折及不良行為，本項治療限由精神科醫師或臨床心理師執行，申報時並應附精神科專科醫師之醫囑及簽名 。,
45089C,特殊心理治療-未滿六歲,Re-educative individual psychotherapy-under 6 years old,515,108.04.01,999.12.31,精神醫療治療費,其註:利用特殊心理治療技術，以協助病人了解自我、形成病識感、提升病人適應環境技巧、降低病人的主觀挫折及不良行為，本項治療限由精神科醫師或臨床心理師執行，申報時並應附精神科專科醫師之醫囑及簽名 。,
45090C,深度心理治療（每四十分鐘）-六歲以上至未滿十六歲,Intensive individual psychotherapy-6 to 15 years old,1460,111.03.01,999.12.31,精神醫療治療費,利用深度心理治療技術，以協助病人改善客體關係（object relation）、強化心理防衛機轉、解決內在衝突或改善其認知行為偏差。本項治療限由精神科專科醫師執行，申報時並應附治療紀錄。,
45091C,深度心理治療（每四十分鐘）-未滿六歲,Intensive individual psychotherapy-under 6 years old,1718,108.04.01,999.12.31,精神醫療治療費,註:利用深度心理治療技術，以協助病人改善客體關係（object relation）、強化心理防衛機轉、解決內在衝突或改善其認知行為偏差。本項治療限由精神科專科醫師執行，申報時並應附治療紀錄。,
45092B,精神科診斷性會談(次)-六歲以上至未滿十六歲,Psychiatric diagnostic interview(time) -6 to 15 years old,1203,111.03.01,999.12.31,精神醫療治療費,1.包括病史、心理狀態評估、社會功能評估及病人治療之計畫(安置)等。2.限精神科初診(含新住院病人)或他科要求會診時申報。3.限由精神專科醫師施行並於病歷詳細記載治療情形。4.申報時須附載有該精神科專科醫師簽名之治療紀錄。,
45093B,精神科診斷性會談(次)－未滿六歲,Psychiatric diagnostic interview(time) -under 6 years old,1375,108.04.01,999.12.31,精神醫療治療費,註:1.包括病史、心理狀態評估、社會功能評估及病人治療之計畫(安置)等。2.限精神科初診(含新住院病人)或他科要求會診時申報。3.限由精神專科醫師施行並於病歷詳細記載治療情形。4.申報時須附載有該精神科專科醫師簽名之治療紀錄。,
45094C,特殊團體心理治療（每人次）,Re-educative group psychotherapy,129,093.07.01,999.12.31,精神醫療治療費,註:經由團體前準備、團體進行、團體後之整理、團體報告之撰寫，利用特殊團體心理治療技術及治療因子，以協助團體中的病人了解自我、形成病識感、提升適應環境技巧、降低主觀挫折及不良行為。本項治療限由精神科醫師或臨床心理師執行。申報時應附精神科專科醫師之醫囑及簽名，一次最多以十五人為限。,
45095C,特殊職能治療(次),Special Occupational therapy,325,093.07.01,999.12.31,精神醫療治療費,註:1.一般治療項目3項或特殊治療項目1項。2.合計治療時間達80分鐘者。3.特殊治療項目包含:(1)感覺統合治療　(2)心理調適功能訓練 (3)知覺認知訓練 (4)執行功能訓練 (5)職業復健 (6)環境改造 (7)兒童職能治療。,
45096C,生理回饋治療之評估與計劃,Biofeedback therapy assessment and planning,1031,093.07.01,999.12.31,精神醫療治療費,註:限精神科醫師或臨床心理師執行，每次療程限申報一次，申報時並應附紀錄精神科專科醫師簽章。,
45097C,團體生理回饋治療之執行 (每次),Group Biofeedback therapy,129,093.07.01,999.12.31,精神醫療治療費,註:限精神科專科醫師指導下由精神治療團隊之各專業成員執行，每次療程限申報12次。一次治療最多以五人為限。申報時並需附個別之生理回饋儀之數據報告。,
45098C,生理心理功能檢查-六歲以上至未滿十六歲,Psychophysiological function examination-6 to 15 years old,387,111.03.01,999.12.31,精神醫療治療費,包括MSE(Mini Mental State Test， BDI等)。,
45099C,生理心理功能檢查-未滿六歲,Psychophysiological function examination-under 6 years old,430,108.04.01,999.12.31,精神醫療治療費,註:包括MSE(Mini Mental State Test， BDI等)。,
45100C,行為治療評估,Behavior modification assessment,301,098.06.01,999.12.31,精神醫療治療費,註:本項為實施行為治療計畫之定期追蹤評估，由曾經受過精神醫療訓練之醫事人員或社工師執行，申報時須附評估報告，每療程限申報一次，最多三次。,
45101C,行為治療計畫(60分鐘),Behavior modification planning,1203,098.01.01,999.12.31,精神醫療治療費,註:針對精神科病患之行為問題，或肢體傷殘、中樞神經系統損傷、發展異常、慢性疼痛或其他先天後天疾患經評估有心智功能下降、情緒困擾或行為異常，導致社會適應功能不良需心理治療者，實施行為治療計畫，如行為修正、認知行為治療…等。本項計畫限精神專科、復健專科醫師或臨床心理師執行，並需附精神專科或復健專科醫師簽章及計畫書，每療程限申報一次。,
45102C,精神科社會生活功能評估,Psychiatric social function assessment,344,112.03.01,999.12.31,精神醫療治療費,1.針對精神疾病患者之家庭與社會功能進行整體評估，包括社交技巧、社會角色行使能力、社會網路支持及個案對相關資源的運用等進行評估。以利近一步安排復健或家族治療及轉介社會資源。2.本項治療限精神科醫師或社工師(員)申報，並詳細記錄於病歷。3.不得同時申報45103B。,
45103B,學齡前之兒童特殊家庭功能評估,Family functional assessment of Preschool Children,1254,112.03.01,999.12.31,精神醫療治療費,"1.支付規範：
(1)執行人員：限兒童發展聯合評估中心及與各縣市政府簽約之兒童發展評估鑑定醫院之兒童青少年精神科醫師或曾經受過精神醫療訓練之社工師。
(2)執行頻率：每年申報一次為原則，若有特殊情形每年至多申報二次。
(3)應檢附三種評估面向量表（家庭互動關係、親職功能、資源需求）評估報告或於病歷紀錄。
(4)不得同時申報45102C。",限門診病人符合適應症：兒童精神疾患或發展障礙兒童（F70-99、G80-83、G12、G71、H53-54、H90-91、Q86-87）。
45104B,學齡前之兒童社會情緒發展團體心理治療,Social Emotional Development Group Psychotherapy for Preschool Children,564,112.03.01,999.12.31,精神醫療治療費,"1.適用對象應符合下列各項條件：
(1)符合下列任一診斷碼：F84、F90、F91、F95、F98、F06、F20、F25、F34、F41、F43、F44、F45。
(2)符合下列二項以上功能障礙：自理生活障礙、人際互動障礙、家庭生活障礙或學校生活障礙。
(3)符合下列一項以上症狀：傷人及暴力行為、情緒和焦慮症狀、創傷症狀或精神症狀。
2.支付規範：
(1)執行人員：限兒童青少年精神科醫師或臨床心理師。
(2)應檢附團體治療計畫或評估報告等相關紀錄。
(3)一次以八對親子進行團體治療為限。",
47001C,酒精拭浴 ,Alcohol packing,56,093.07.01,999.12.31,治療處置費,93.6.14健保醫字第0930060063號公告點數修訂。,
47002C,薄荷擦拭,MENTHOL PACKING,40,084.03.01,999.12.31,治療處置費,,
47003C,大量灌腸 ,S.S. ENEMA,134,093.07.01,999.12.31,治療處置費,註:如肥皂水灌腸、清水灌腸等。,
47004C,甘油球灌腸,Glycerin enema,40,084.03.01,999.12.31,治療處置費,93.6.14健保醫字第0930060063號公告中文名稱修正。,
47006C,小量或留置灌腸 ,,123,093.07.01,999.12.31,治療處置費,93.6.14健保醫字第0930060063號公告中文名稱及點數修訂、增列註、英文名稱刪除。,
47011C,清潔灌腸,Cleaning enema,392,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47012B,周邊動脈導管置入術,Peripheral arterial line insertion,842,111.12.01,999.12.31,治療處置費,提升兒童加成項目。,
47013C,一般導尿,Urinal catheterlization,96,112.10.01,999.12.31,治療處置費,註:1.含一般導尿管、尿袋等材料費。2.提升兒童加成項目。,
47014C,留置導尿,Urinal indwelling catheterlization,363,111.12.01,999.12.31,治療處置費,含一般導尿管、尿袋等材料費。,
47015B,中央靜脈導管置入術,C.V.P. catheter intubation,1470,110.07.01,999.12.31,治療處置費,提升兒童加成項目。,
47016C,胃灌洗術,Gastric lavage,468,112.10.01,999.12.31,治療處置費,提升兒童加成項目。,
47017C,胃管插入,Insertion of nasogastric tube,195,102.01.01,999.12.31,治療處置費,註:1.更換胃管(changeN-Gtube)或十二指腸插管比照申報。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47018C,鼻胃管灌食 一天,N-G feeding,222,093.07.01,999.12.31,治療處置費,註:不得同時申報47020C、47062B。,
47020C,胃減壓一天,Gastric decompression,150,102.01.01,999.12.31,治療處置費,註:1.不得同時申報47018C、47062B。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47021C,胸腔引流一天,chest drainage,126,112.10.01,999.12.31,治療處置費,提升兒童加成項目。,
47022C,腹腔引流一天,Abdominal drainage,125,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47023B,食道球置入術,Esophageal balloon insertion,5319,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47024B,食道球處理一天,Esophageal balloon care,139,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47025B,食道靜脈瘤硬化治療,Esophageal injection sclerosing therapy,8831,102.01.01,999.12.31,治療處置費,註：1.含內視鏡費及藥材費。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47027C,"食道異物取出, 複雜","Esophageal foreign body, complicated",3293,112.11.01,999.12.31,治療處置費,註：內含單次使用瘜肉切除器比率為百分之二十。,
47028C,去顫術（急救一次）,Electrical defibrillation or cardioversion,554,111.12.01,999.12.31,治療處置費,1.不論急救過程中施行電擊次數，每一急救過程限申報一次。2.提升兒童加成項目。,
47029C,心肺甦醒術(每十分鐘）,CPR,1800,111.12.01,999.12.31,治療處置費,1.不足十分鐘者，以十分鐘申報。2.每次以六十分鐘為上限。3.提升兒童加成項目。,
47030B,暫時性心律調節器技術費,Temporary pacemaker,3136,110.07.01,999.12.31,治療處置費,1.提升兒童加成項目。,
47031C,氣管內管插管,Endotracheal tube insertion,835,111.12.01,999.12.31,治療處置費,1.麻醉插管不另支付。2.急救插管比照申報。3.提升兒童加成項目。4.不得同時申報47105C、47106C。,
47032B,心電圖監視器 一天,E.K.G. MONITOR,420,110.07.01,999.12.31,治療處置費,註：限非ICU、燙傷中心病人申報,
47033B,無侵害性血壓監視器（天）,B.P. monitor(day),200,084.03.01,999.12.31,治療處置費,註：限非ICU、燙傷中心病人申報。,
47034B,溫度測定儀,Thermometer,240,102.01.01,999.12.31,治療處置費,1.所列點數，已包含同一病人，同日不同部位之測量費用，故同一病人，同日不同部位之測量不得另行申報。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47035B,腦室引流一天,Ventricular drainage,112,110.07.01,999.12.31,治療處置費,1.提升兒童加成項目。,
47036B,順流導管插管術,Swan-Ganz catheterization,2525,110.07.01,999.12.31,治療處置費,1.提升兒童加成項目。,
47037B,冰毯－未滿十二小時,Iceblanket-under 12 hrs,413,112.07.01,999.12.31,治療處置費,1.提升兒童加成項目。2.不得同時申報：47081B、47082B。,
47038B,冰毯-十二小時至二十四小時,Iceblanket-12-24hrs.,780,112.07.01,999.12.31,治療處置費,"1.提升兒童加成項目。
2.不得同時申報：47081B、47082B。",
47039C,熱敷或冷（冰）敷,Hot pack or cold/ice pack,28,112.07.01,999.12.31,治療處置費,"1.每日最多申報四次。
2.不得同時申報：47081B、47082B。",
47041C,呼吸道抽吸(次),Suction (time),30,111.03.01,999.12.31,治療處置費,每日實施八次以上者應按47042C申報。,
47042C,呼吸道抽吸(天) ,Suction (day),218,093.07.01,999.12.31,治療處置費,,
47043C,上消化道內視鏡止血法（任何方法）,Endoscopic treatment in upper GI bleeding,7818,109.01.01,999.12.31,治療處置費,1.含內視鏡費及藥費。2.非屬硬化劑注射及結紮之止血法皆以本項申報。3.限上消化道有流血或潰瘍之徵兆者。4.提升兒童加成項目。5.屬西醫基層總額部門院所，除山地離島地區外，限由專任醫師開立處方及執行始可申報。,
47044C,皮下腫瘍、囊腫抽吸,"Aspiration of abscess, cyst etc.",192,093.07.01,999.12.31,治療處置費,,
47045C,體位引流,Postural drainage,140,111.03.01,999.12.31,治療處置費,不得同時申報47104B。,
47046C,溫水擦拭,Water sponge,99,093.07.01,999.12.31,治療處置費,,
47047C,坐浴,Sitbath,53,102.01.01,999.12.31,治療處置費,註:1.泡盆（soaking）比照申報。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47048C,引流管灌洗,Tube irrigation,128,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47049B,自動體溫控制床使用費(天),Hyperthermia(day),294,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47050B,電動翻轉床使用費(天),Electri ccircle bed,195,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47051C,末稍神經阻斷術,"Nerve block, peripheral",380,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47052B,三叉神經阻斷術,"Nerve block, trigeminal",1320,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47053B,非電動翻轉床使用費 （天）,Non-electric circle bed,120,084.03.01,999.12.31,治療處置費,,
47054C,一般高壓氧治療,"General hyperbaric oxygen therapy,general",720,112.10.01,999.12.31,治療處置費,"1.包括氧氣費在內。
2.提升兒童加成項目。",
47055C,減敏注射(每種抗原),Desensitization injection (each Ag),212,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47056B,體外循環，第二天起之每日照護費,,2380,110.07.01,999.12.31,治療處置費,1.本項限申報24次。2.提升兒童加成項目。,
